Anger,"Anger occurs when our desires (whether unrighteous desires or righteous desires) have not been met. The loss of those desires causes a grievous displeasure that can be manifested in various ways. Although anger can be righteous (Eph. 4:26), we most often have and thus display unrighteous anger. Unrighteous anger is usually accompanied by pride and selfishness. Contrary to anger are meekness, self-control, peace, and patience.","""I have a bad attitude.""; ""I am bummed, grumpy, irritated, disappointed, or frustrated.""; ""I am not getting what I want."" ",Proverbs 12:16; Proverbs 14:16-17; Proverbs 14:29; Proverbs 15:1; Proverbs 15:18; Proverbs 16:32: Proverbs 19:11; Proverbs 19:19; Proverbs 21:19; Proverbs 21:19; Proverbs 22:24-25; Proverbs 29:22; Proverbs 30:33; Matthew 5:21-22; Ephesians 4:26-27; Ephesians 4:31; Colossians 3:8; James 1:19-20,sinful
Anxiety,"Anxiety is worry. It is a care or concern for something to the extent that it disturbs or troubles our soul. It is taking thought to something so much that it encumbers our mind. Anxiety causes fear, sorrow, fretting, and dread because we believe that God will not care for our situation appropriately.","""God is not taking care of this the right way.""; ""I am stressed out!"";""I can’t stop thinking about it.""",Psalm 4:8; Psalm 23:1; Psalm 37:1-8; Psalm 55:22; Proverbs 3:5-6; Proverbs 12:25; Proverbs 17:22; Matthew 6:25-34; Luke 10:38-42; Philippians 4:6-9; Colossians 3:15; 1 Peter 5:6-9,sinful
Bitterness,"Bitterness is a form of anger toward God and others that brings despair of soul. It is a hatred of others and a lack of forgiveness of their wrongs, whether these wrongs are real or perceived. Our bitterness grieves that situations have not been made ""right"" according to our own expectations. Bitterness causes us to miss out on God’s grace in daily life, and it spreads trouble to others (Heb. 12:15). Contrary to bitterness are joy, love, and meekness.","""I hate them."";""God has done wrong to me."";""I want others to suffer for their wrongs against me."";""I can’t get over this. . .""",Leviticus 19:17a; Proverbs 10:12; Proverbs 10:18; Matthew 22:37-40; Romans 3:10-18; Romans 13:10; Galatians 5:15; Ephesians 4:31-32; Colossians 3:12-14; 2 Timothy 3:1-5; Hebrews 12:14-15; 1 Peter 3:8-9; 1 John 2:9-11; 1 John 4:20-21,sinful
Despair,"Despair is a state of complete hopelessness that fails to have a biblical, eternal perspective. Despair is a fixation upon earthly, temporal situations that causes a downcast spirit and utter discouragement. It is the sin of unbelief in the fact that God always acts and assists in a way that is for our absolute good and total benefit. Contrary to despair is the faith and confidence in God’s sovereign goodness that leads to joyful hope and patient endurance.","""My situation is hopeless."";""God is doing wrong to me."";""I cannot go on."";""God cannot help me.""","Psalm 16:8-9; Psalm 28:6-7; Psalm 30:4-5, 11-12; Psalm 31:24; Psalm 33:20-21; Psalm 37:9; Psalm 40:16-17; Psalm 42:1-11; Psalm 62: 5-8; Psalm 63:1-8; Psalm 69:29-36; Psalm 71:5-8; Psalm 116:1-7; Psalm 119:147; Psalm 130:5-6; Lamentations 3:21-26; Habakkuk 3:17-18; Romans 5:3-5; Romans 8:28-29; Romans 15:4; Romans 15:4; Romans 15:13; 1 Corinthians 10:13; 2 Corinthians 1:8; 2 Corinthians 4:8-10; 2 Corinthians 7: 4-7; Hebrews 10:23; Hebrews 12:1-3; 1 Peter 1:13",sinful
Envy,"Envy is pain and grief that is felt when we observe another’s good or happiness. Envy often manifests itself in anger and contention toward others, wanting to cause harm to their good. It is a lack of contentment that robs us of joy, delight in God, and thankfulness. Envy usually occurs in conjunction with the sins of greed, pride, and selfishness. ","""I would be happy if I had what someone else has."";""I hate that others have good things and are happy."";""I just hate them!""","Proverbs 14:30; Matthew 27:18; Mark 15: 10; Acts 7:9; Acts 13:45; Acts 17:5; Romans 1:28-29; Romans 13:12-14; 1 Corinthians 3:3; 1 Corinthians 13:4-7; Galatians 5:19-21, 26; 1 Timothy 6:3-4; Titus 3:3; James 3:13-16; 1 Peter 2:1-3",sinful
Fear,Sinful fear is similar to anxiety and worry in that it is a troubling of our souls. Sinful fear leads to disobedience of God’s commands because it can paralyze us to inaction or cause us to seek our own solutions outside of God’s ways. Contrary to fear are confidence and trust in the person of God that leads to obedience to His Word.,"""God let things get out of control."";""I can’t obey God because I have to protect myself."";""I have to escape this situation."" ","Joshua 1:9; Psalm 56:3-4, 10-11; Proverbs 1:33; Proverbs 3:21-26; Isaiah 41:10, 13; Isaiah 43:1-2; Matthew 8:26-27; Matthew 10:29-31; Romans 8:15; Romans 8:37-39; 2 Timothy 1:7; Hebrews 13:5-6; 1 John 4:18",sinful
Fear of Man,"Fear of man is the anxiety of being rejected. It is when we strive to gain favor and acceptance from others, or are overly concerned about what others think of us. Fear of man is a self-serving and self-exalting pride which robs the glory that is God’s alone. Guile and envy often accompany this sin. Contrary to fear of man are humility, fear of God, goodness, kindness, and love.","""I want to please people so they like me."" ;""I want recognition and attention from others."" ;""I am more concerned with what others think of me than doing what God says is right."" ",Proverbs 29:25; Isaiah 51:12-13a; John 12:42-43; Galatians 1:10; Colossians 3:22-24; 1 Thessalonians 2:3-6,sinful
Greed,"Greed, or covetousness, comes from two different Greek words: one meaning ""more,"" and the other ""to have."" Greed is the craving to have more. It is synonymous with evil desire and lust; it is a strong craving to increase fleshly pleasures or to satisfy ourselves with earthly goods rather than eternal pleasures. Covetousness leads to other sins, including envy and guile. Contrary to greed are contentment and thankfulness, which find satisfaction in God alone.","""Having more will satisfy."";""I am not content with what I have."" ;""I want more.""",Proverbs 1:19; Proverbs 15:16; Proverbs 15:27; Proverbs 23:4-5; Proverbs 25:16; Proverbs 27:20; Proverbs 28:8; Proverbs 28:16; Proverbs 28:20; Proverbs 28:22; Proverbs 28:27; Habakkuk 2:9; Matthew 6:19-24; Mark 7:21-23; Luke 12:15; Romans 1:28-32; 2 Corinthians 9:6-7; Ephesians 4:17-20; Colossians 3:5; 1 Timothy 6:6-11; 1 Timothy 6:6-11; 1 Timothy 6:17-19; Hebrews 13:5-6,sinful
Guile,"Guile is from the Greek word dólos, which means ""to bait."" This word means to scam, scheme, lie, and deceive. Guile is a sly deviousness in which we manipulate and seek to cover our true motives and behavior. It is often accompanied by sins such as selfishness, greed, and fear of man. Contrary to guile are fear of God, humility, and love.","""I scheme and deceive to hide my true desires."" ;""I don’t want to tell the whole truth."" ;""I will manipulate others to get what I want."" ",Proverbs 31:18; Proverbs 6:16-19; Psalm 32:2; Psalm 63:11; Proverbs 12:17; Proverbs 12:19-22; Proverbs 13:5; Proverbs 17:4; Proverbs 19:22; Proverbs 21:6; Proverbs 26:28; Matthew 26:3-4; Mark 7:21-23; John 7:21-23; John 1:47; John 8:44; Romans 1:28-32; Romans 3:10-18; Ephesians 4:25; 1 Thessalonians 2:3-4; 1 Peter 2:1-3; 1 Peter 2:21-23; 1 Peter 3:8-12,sinful
Laziness,"To be lazy is to be slack, idle, and slothful. Laziness is a neglect of responsibility and diligence. It is a form of selfishness that serves our desires of the sinful flesh and fails to consider both the interests of others and the consequences for the future. Contrary to laziness are faithfulness and good works.","""I will just do whatever I want."";""I don’t want to do what I know I am supposed to do."" ;""I don’t want to be diligent."" ",Proverbs 6:6-11; Proverbs 10:4-5; Proverbs 12:11; Proverbs 12:24; Proverbs 12:27; Proverbs 13:4; Proverbs 14:23; Proverbs 15:19; Proverbs 19:15; Proverbs 20:4; Proverbs 20:13; Proverbs 24:30-34; Proverbs 26:14; Proverbs 26:15; Proverbs 26:16; 2 Thessalonians 3:7-12; 1 Timothy 5:8; Titus 3:14,sinful
Pride,"Pride is very likely the foundation of all other sins. It is a high view of our own worth, opinions, and abilities. It is self-worship in which we exalt ourselves above God’s person and purposes. Pride is also a sin against people because it is a failure to love and serve them. Contrary to pride are humility, meekness, goodness, kindness, and love.","""I want attention and recognition."";""My way is always right; others are wrong."";""I have a right to . . ."" ; ""I am better than others."" ",Psalm 10:2-4; Psalm 31-23; Psalm 36:11; Psalm 101:5; Psalm 119:21; Psalm 138:6; Proverbs 6:16-19; Proverbs 8:13; Proverbs 11:2; Proverbs 12:15; Proverbs 13:10; Proverbs 15:25; Proverbs 15:12; Proverbs 16:5; Proverbs 16:18-19; Proverbs 18:12; Proverbs 21:4; Proverbs 21:24; Proverbs 25:27; Proverbs 26:12; Proverbs 27:2; Proverbs 28:25-26; Proverbs 29:23; Proverbs 30:32; Isaiah 2:12; Jeremiah 9:23-24; Mark 7:21-23; Romans 1:28-32; Romans 12:3; Romans 12:16; 1 Corinthians 4:6-7; 1 Corinthians 8:1-3; 2 Timothy 3:1-5; James 4:6; 1 Peter 5:5-7,sinful
Selfishness,"Selfishness is loving our own life so much that there is a lack of love and service toward God and others. It is an active pursuit of self-satisfaction and pleasure that ignores the needs and interests of others. Selfishness robs us of thankfulness and also the ability for self-control. Contrary to selfishness are humility, love, kindness, and goodness.","""What I want is more important than the needs of others.""; ""I have to look out for what I want and need."";""I want what I want—when and how I want it."" ",Proverbs 18:1; Procerbs 21:17a; Matthew 6:25a; Matthew 20:26-28: Luke 9:23-24; Luke 14:26; Acts 20:24; Romans 9:3; Romans 15:1-3a; 1 Corinthians 10:24; 1 Corinthians 13:4-5; Philippians 2:1-5; Philippians 2:20-21; 2 Timothy 3:1-5; James 3:14-16; Revelation 10:12,sinful
Faithfulness,"The word for ""faithfulness"" in Galatians 5:22 means to ""win over"" or ""to persuade."" Faith, or faithfulness, as produced by the Holy Spirit, is a firm persuasion and conviction. It is a belief and confidence in the person of God and His revealed Word such that it brings forth holiness, obedience, and good works. Contrary to faithfulness are unbelief, disobedience, and ungodliness.","""I want to obey God even if it is difficult."" ;""I believe and trust in God even if I don’t understand my situation."" ;""I want to be diligent in all things.""","Proverbs 12:24; Proverbs 14:14; Proverbs 21:5; Proverbs 22:29; Proverbs 27:18; 1 Corinthians 4:1-2; 1 Corinthians 10:31; 1 Corinthians 15:58; 2 Corinthians 5:7; Galatians 5:22-23; Galatians 6:9; Ephesians 2:10; Ephesians 4:28; Colossians 3:17; Colossians 3:23-24; 1 Thessalonians 4:11-12; 2 Thessalonians 3:13; 2 Timothy 1:13; Titus 3:8, 14; Hebrews 11:1, 6; James 2:17-18; James 3:13; 2 Peter 1:5-9; Jude 3; Jude 20-21",righteous
Fear of God,"To fear God means to revere, esteem, and respect Him. The fear of God includes the realization that God is so different from mankind that He is incomparable to anything our finite mind can comprehend. The fear of God is not a fear that causes us to run from Him, rather it is a reverence of His person so that it generates utter humility and love. To fear God is to have both awe and delight in His being so that it produces holiness, trust, obedience, and worship.","""I want to obey God’s Word even if others do not."" ;""I want to trust in and put my hope in God."" ;""I love Him and want to worship Him with my life.""","Exodus 20:20; Joshua 4:21a, 23-24; Job 28:28; Job 37:23-24; Psalm 25:12-14; Psalm 31:19; Psalm 33:18; Psalm 103:17; Psalm 112:1; Psalm 130:3-4; Psalm 147:11; Proverbs 1:7; Proverbs 1:28-31; Proverbs 2:1-5; Proverbs 3:7-8; Proverbs 8: 13; Proverbs 9:10; Proverbs 10:27; Proverbs 14:2; Proverbs 14:26; Proverbs 14:27; Proverbs 15:16; Proverbs 15:33; Proverbs 16:6; Proverbs 19:23; Proverbs 22:4; Proverbs 23:17-18; Proverbs 24:21a; Proverbs 31:30; Ecclesiastes 3:14; Ecclesiastes 12:13; Jeremiah 10:6-7; Matthew 10:28; Luke 1:50; Romans 3:10-18; Hebrews 12:28-29; Revelation 14:7; Revelation 15:3-4",righteous
Goodness,"Goodness is an active expression of benevolence toward others that is produced by the Holy Spirit. It is a love that motivates us to serve others and help human need. Goodness is similar to kindness, but kindness is the heart attitude behind the good works whereas goodness is the act of good works. Goodness does manifest itself in gentle correction of others for their benefit. Contrary to demonstrating goodness is doing evil or harm.","""I want to help human need."";""I want to serve others."";""I seek to do good works.""",Matthew 7:12; Romans 12:10-13; Romans 15:1-3a; Galatians 5:22-23; Galatians 6:1-2; Galatians 6:9-10; Ephesians 4:32; 1 Thessalonians 5:15; Titus 3:8 Titus 3:14; James 2:15-17; James 4:17,righteous
